# Official FIFA World Cup 26 Annexe C: combinations for eight best third-placed teams.
# Source: https://digitalhub.fifa.com/m/636f5c9c6f29771f/original/FWC2026_regulations_EN.pdf
# Slots follow simulator Round-of-32 match order: 74, 77, 79, 80, 81, 82, 85, 87.
qualified_third_groups,slot_1,slot_2,slot_3,slot_4,slot_5,slot_6,slot_7,slot_8
B-E-G-H-I-J-K-L,B,G,E,K,I,H,J,L
B-E-F-H-I-J-K-L,F,H,E,K,B,I,J,L
B-E-F-G-I-J-K-L,F,G,E,K,B,I,J,L
B-E-F-G-H-J-K-L,F,G,E,K,B,H,J,L
B-E-F-G-H-I-K-L,F,H,E,K,B,I,G,L
B-E-F-G-H-I-J-L,F,G,E,I,B,H,J,L
B-E-F-G-H-I-J-K,F,G,E,K,B,H,J,I
B-D-G-H-I-J-K-L,D,G,H,K,B,I,J,L
B-D-F-H-I-J-K-L,D,F,H,K,B,I,J,L
B-D-F-G-I-J-K-L,D,F,I,K,B,J,G,L
B-D-F-G-H-J-K-L,D,F,H,K,B,J,G,L
B-D-F-G-H-I-K-L,D,F,H,K,B,I,G,L
B-D-F-G-H-I-J-L,D,F,H,I,B,J,G,L
B-D-F-G-H-I-J-K,D,F,H,K,B,J,G,I
B-D-E-H-I-J-K-L,D,H,E,K,B,I,J,L
B-D-E-G-I-J-K-L,D,G,E,K,B,I,J,L
B-D-E-G-H-J-K-L,D,G,E,K,B,H,J,L
B-D-E-G-H-I-K-L,D,H,E,K,B,I,G,L
B-D-E-G-H-I-J-L,D,G,E,I,B,H,J,L
B-D-E-G-H-I-J-K,D,G,E,K,B,H,J,I
B-D-E-F-I-J-K-L,D,F,E,K,B,I,J,L
B-D-E-F-H-J-K-L,D,F,E,K,B,H,J,L
B-D-E-F-H-I-K-L,D,F,E,K,B,H,I,L
B-D-E-F-H-I-J-L,D,F,E,I,B,H,J,L
B-D-E-F-H-I-J-K,D,F,E,K,B,H,J,I
B-D-E-F-G-J-K-L,D,F,E,K,B,J,G,L
B-D-E-F-G-I-K-L,D,F,E,K,B,I,G,L
B-D-E-F-G-I-J-L,D,F,E,I,B,J,G,L
B-D-E-F-G-I-J-K,D,F,E,K,B,J,G,I
B-D-E-F-G-H-K-L,D,F,E,K,B,H,G,L
B-D-E-F-G-H-J-L,D,F,H,E,B,J,G,L
B-D-E-F-G-H-J-K,D,F,H,K,B,J,G,E
B-D-E-F-G-H-I-L,D,F,E,I,B,H,G,L
B-D-E-F-G-H-I-K,D,F,E,K,B,H,G,I
B-D-E-F-G-H-I-J,D,F,H,I,B,J,G,E
B-C-G-H-I-J-K-L,C,G,H,K,B,I,J,L
B-C-F-H-I-J-K-L,C,F,H,K,B,I,J,L
B-C-F-G-I-J-K-L,C,F,I,K,B,J,G,L
B-C-F-G-H-J-K-L,C,F,H,K,B,J,G,L
B-C-F-G-H-I-K-L,C,F,H,K,B,I,G,L
B-C-F-G-H-I-J-L,C,F,H,I,B,J,G,L
B-C-F-G-H-I-J-K,C,F,H,K,B,J,G,I
B-C-E-H-I-J-K-L,C,H,E,K,B,I,J,L
B-C-E-G-I-J-K-L,C,G,E,K,B,I,J,L
B-C-E-G-H-J-K-L,C,G,E,K,B,H,J,L
B-C-E-G-H-I-K-L,C,H,E,K,B,I,G,L
B-C-E-G-H-I-J-L,C,G,E,I,B,H,J,L
B-C-E-G-H-I-J-K,C,G,E,K,B,H,J,I
B-C-E-F-I-J-K-L,C,F,E,K,B,I,J,L
B-C-E-F-H-J-K-L,C,F,E,K,B,H,J,L
B-C-E-F-H-I-K-L,C,F,E,K,B,H,I,L
B-C-E-F-H-I-J-L,C,F,E,I,B,H,J,L
B-C-E-F-H-I-J-K,C,F,E,K,B,H,J,I
B-C-E-F-G-J-K-L,C,F,E,K,B,J,G,L
B-C-E-F-G-I-K-L,C,F,E,K,B,I,G,L
B-C-E-F-G-I-J-L,C,F,E,I,B,J,G,L
B-C-E-F-G-I-J-K,C,F,E,K,B,J,G,I
B-C-E-F-G-H-K-L,C,F,E,K,B,H,G,L
B-C-E-F-G-H-J-L,C,F,H,E,B,J,G,L
B-C-E-F-G-H-J-K,C,F,H,K,B,J,G,E
B-C-E-F-G-H-I-L,C,F,E,I,B,H,G,L
B-C-E-F-G-H-I-K,C,F,E,K,B,H,G,I
B-C-E-F-G-H-I-J,C,F,H,I,B,J,G,E
B-C-D-H-I-J-K-L,C,D,H,K,B,I,J,L
B-C-D-G-I-J-K-L,C,D,I,K,B,J,G,L
B-C-D-G-H-J-K-L,C,D,H,K,B,J,G,L
B-C-D-G-H-I-K-L,C,D,H,K,B,I,G,L
B-C-D-G-H-I-J-L,C,D,H,I,B,J,G,L
B-C-D-G-H-I-J-K,C,D,H,K,B,J,G,I
B-C-D-F-I-J-K-L,D,F,C,K,B,I,J,L
B-C-D-F-H-J-K-L,D,F,C,K,B,H,J,L
B-C-D-F-H-I-K-L,D,F,C,K,B,H,I,L
B-C-D-F-H-I-J-L,D,F,C,I,B,H,J,L
B-C-D-F-H-I-J-K,D,F,C,K,B,H,J,I
B-C-D-F-G-J-K-L,D,F,C,K,B,J,G,L
B-C-D-F-G-I-K-L,D,F,C,K,B,I,G,L
B-C-D-F-G-I-J-L,D,F,C,I,B,J,G,L
B-C-D-F-G-I-J-K,D,F,C,K,B,J,G,I
B-C-D-F-G-H-K-L,D,F,C,K,B,H,G,L
B-C-D-F-G-H-J-L,D,F,C,J,B,H,G,L
B-C-D-F-G-H-J-K,C,F,H,K,B,J,G,D
B-C-D-F-G-H-I-L,D,F,C,I,B,H,G,L
B-C-D-F-G-H-I-K,D,F,C,K,B,H,G,I
B-C-D-F-G-H-I-J,C,F,H,I,B,J,G,D
B-C-D-E-I-J-K-L,C,D,E,K,B,I,J,L
B-C-D-E-H-J-K-L,C,D,E,K,B,H,J,L
B-C-D-E-H-I-K-L,C,D,E,K,B,H,I,L
B-C-D-E-H-I-J-L,C,D,E,I,B,H,J,L
B-C-D-E-H-I-J-K,C,D,E,K,B,H,J,I
B-C-D-E-G-J-K-L,C,D,E,K,B,J,G,L
B-C-D-E-G-I-K-L,C,D,E,K,B,I,G,L
B-C-D-E-G-I-J-L,C,D,E,I,B,J,G,L
B-C-D-E-G-I-J-K,C,D,E,K,B,J,G,I
B-C-D-E-G-H-K-L,C,D,E,K,B,H,G,L
B-C-D-E-G-H-J-L,C,D,H,E,B,J,G,L
B-C-D-E-G-H-J-K,C,D,H,K,B,J,G,E
B-C-D-E-G-H-I-L,C,D,E,I,B,H,G,L
B-C-D-E-G-H-I-K,C,D,E,K,B,H,G,I
B-C-D-E-G-H-I-J,C,D,H,I,B,J,G,E
B-C-D-E-F-J-K-L,D,F,C,K,B,E,J,L
B-C-D-E-F-I-K-L,D,F,C,K,B,I,E,L
B-C-D-E-F-I-J-L,D,F,C,I,B,E,J,L
B-C-D-E-F-I-J-K,D,F,C,K,B,E,J,I
B-C-D-E-F-H-K-L,D,F,C,K,B,H,E,L
B-C-D-E-F-H-J-L,D,F,C,E,B,H,J,L
B-C-D-E-F-H-J-K,D,F,C,K,B,H,J,E
B-C-D-E-F-H-I-L,D,F,C,I,B,H,E,L
B-C-D-E-F-H-I-K,D,F,C,K,B,H,E,I
B-C-D-E-F-H-I-J,D,F,C,I,B,H,J,E
B-C-D-E-F-G-K-L,D,F,C,K,B,E,G,L
B-C-D-E-F-G-J-L,D,F,C,E,B,J,G,L
B-C-D-E-F-G-J-K,D,F,C,K,B,J,G,E
B-C-D-E-F-G-I-L,D,F,C,I,B,E,G,L
B-C-D-E-F-G-I-K,D,F,C,K,B,E,G,I
B-C-D-E-F-G-I-J,D,F,C,I,B,J,G,E
B-C-D-E-F-G-H-L,D,F,C,E,B,H,G,L
B-C-D-E-F-G-H-K,D,F,C,K,B,H,G,E
B-C-D-E-F-G-H-J,C,F,H,E,B,J,G,D
B-C-D-E-F-G-H-I,D,F,C,I,B,H,G,E
A-F-G-H-I-J-K-L,F,G,H,K,I,A,J,L
A-E-G-H-I-J-K-L,A,G,E,K,I,H,J,L
A-E-F-H-I-J-K-L,F,H,E,K,I,A,J,L
A-E-F-G-I-J-K-L,F,G,E,K,I,A,J,L
A-E-F-G-H-J-K-L,F,H,E,K,J,A,G,L
A-E-F-G-H-I-K-L,F,H,E,K,I,A,G,L
A-E-F-G-H-I-J-L,F,H,E,I,J,A,G,L
A-E-F-G-H-I-J-K,F,H,E,K,J,A,G,I
A-D-G-H-I-J-K-L,D,G,H,K,I,A,J,L
A-D-F-H-I-J-K-L,D,F,H,K,I,A,J,L
A-D-F-G-I-J-K-L,D,F,I,K,J,A,G,L
A-D-F-G-H-J-K-L,D,F,H,K,J,A,G,L
A-D-F-G-H-I-K-L,D,F,H,K,I,A,G,L
A-D-F-G-H-I-J-L,D,F,H,I,J,A,G,L
A-D-F-G-H-I-J-K,D,F,H,K,J,A,G,I
A-D-E-H-I-J-K-L,D,H,E,K,I,A,J,L
A-D-E-G-I-J-K-L,D,G,E,K,I,A,J,L
A-D-E-G-H-J-K-L,D,H,E,K,J,A,G,L
A-D-E-G-H-I-K-L,D,H,E,K,I,A,G,L
A-D-E-G-H-I-J-L,D,H,E,I,J,A,G,L
A-D-E-G-H-I-J-K,D,H,E,K,J,A,G,I
A-D-E-F-I-J-K-L,D,F,E,K,I,A,J,L
A-D-E-F-H-J-K-L,D,F,H,K,E,A,J,L
A-D-E-F-H-I-K-L,D,F,H,K,I,A,E,L
A-D-E-F-H-I-J-L,D,F,H,I,E,A,J,L
A-D-E-F-H-I-J-K,D,F,H,K,E,A,J,I
A-D-E-F-G-J-K-L,D,F,E,K,J,A,G,L
A-D-E-F-G-I-K-L,D,F,E,K,I,A,G,L
A-D-E-F-G-I-J-L,D,F,E,I,J,A,G,L
A-D-E-F-G-I-J-K,D,F,E,K,J,A,G,I
A-D-E-F-G-H-K-L,D,F,H,K,E,A,G,L
A-D-E-F-G-H-J-L,D,F,H,E,J,A,G,L
A-D-E-F-G-H-J-K,D,F,H,K,J,A,G,E
A-D-E-F-G-H-I-L,D,F,H,I,E,A,G,L
A-D-E-F-G-H-I-K,D,F,H,K,E,A,G,I
A-D-E-F-G-H-I-J,D,F,H,I,J,A,G,E
A-C-G-H-I-J-K-L,C,G,H,K,I,A,J,L
A-C-F-H-I-J-K-L,C,F,H,K,I,A,J,L
A-C-F-G-I-J-K-L,C,F,I,K,J,A,G,L
A-C-F-G-H-J-K-L,C,F,H,K,J,A,G,L
A-C-F-G-H-I-K-L,C,F,H,K,I,A,G,L
A-C-F-G-H-I-J-L,C,F,H,I,J,A,G,L
A-C-F-G-H-I-J-K,C,F,H,K,J,A,G,I
A-C-E-H-I-J-K-L,C,H,E,K,I,A,J,L
A-C-E-G-I-J-K-L,C,G,E,K,I,A,J,L
A-C-E-G-H-J-K-L,C,H,E,K,J,A,G,L
A-C-E-G-H-I-K-L,C,H,E,K,I,A,G,L
A-C-E-G-H-I-J-L,C,H,E,I,J,A,G,L
A-C-E-G-H-I-J-K,C,H,E,K,J,A,G,I
A-C-E-F-I-J-K-L,C,F,E,K,I,A,J,L
A-C-E-F-H-J-K-L,C,F,H,K,E,A,J,L
A-C-E-F-H-I-K-L,C,F,H,K,I,A,E,L
A-C-E-F-H-I-J-L,C,F,H,I,E,A,J,L
A-C-E-F-H-I-J-K,C,F,H,K,E,A,J,I
A-C-E-F-G-J-K-L,C,F,E,K,J,A,G,L
A-C-E-F-G-I-K-L,C,F,E,K,I,A,G,L
A-C-E-F-G-I-J-L,C,F,E,I,J,A,G,L
A-C-E-F-G-I-J-K,C,F,E,K,J,A,G,I
A-C-E-F-G-H-K-L,C,F,H,K,E,A,G,L
A-C-E-F-G-H-J-L,C,F,H,E,J,A,G,L
A-C-E-F-G-H-J-K,C,F,H,K,J,A,G,E
A-C-E-F-G-H-I-L,C,F,H,I,E,A,G,L
A-C-E-F-G-H-I-K,C,F,H,K,E,A,G,I
A-C-E-F-G-H-I-J,C,F,H,I,J,A,G,E
A-C-D-H-I-J-K-L,C,D,H,K,I,A,J,L
A-C-D-G-I-J-K-L,C,D,I,K,J,A,G,L
A-C-D-G-H-J-K-L,C,D,H,K,J,A,G,L
A-C-D-G-H-I-K-L,C,D,H,K,I,A,G,L
A-C-D-G-H-I-J-L,C,D,H,I,J,A,G,L
A-C-D-G-H-I-J-K,C,D,H,K,J,A,G,I
A-C-D-F-I-J-K-L,D,F,C,K,I,A,J,L
A-C-D-F-H-J-K-L,C,D,H,K,F,A,J,L
A-C-D-F-H-I-K-L,C,D,H,K,I,A,F,L
A-C-D-F-H-I-J-L,C,D,H,I,F,A,J,L
A-C-D-F-H-I-J-K,C,D,H,K,F,A,J,I
A-C-D-F-G-J-K-L,D,F,C,K,J,A,G,L
A-C-D-F-G-I-K-L,D,F,C,K,I,A,G,L
A-C-D-F-G-I-J-L,D,F,C,I,J,A,G,L
A-C-D-F-G-I-J-K,D,F,C,K,J,A,G,I
A-C-D-F-G-H-K-L,C,D,H,K,F,A,G,L
A-C-D-F-G-H-J-L,D,F,C,H,J,A,G,L
A-C-D-F-G-H-J-K,C,F,H,K,J,A,G,D
A-C-D-F-G-H-I-L,C,D,H,I,F,A,G,L
A-C-D-F-G-H-I-K,C,D,H,K,F,A,G,I
A-C-D-F-G-H-I-J,C,F,H,I,J,A,G,D
A-C-D-E-I-J-K-L,C,D,E,K,I,A,J,L
A-C-D-E-H-J-K-L,C,D,H,K,E,A,J,L
A-C-D-E-H-I-K-L,C,D,H,K,I,A,E,L
A-C-D-E-H-I-J-L,C,D,H,I,E,A,J,L
A-C-D-E-H-I-J-K,C,D,H,K,E,A,J,I
A-C-D-E-G-J-K-L,C,D,E,K,J,A,G,L
A-C-D-E-G-I-K-L,C,D,E,K,I,A,G,L
A-C-D-E-G-I-J-L,C,D,E,I,J,A,G,L
A-C-D-E-G-I-J-K,C,D,E,K,J,A,G,I
A-C-D-E-G-H-K-L,C,D,H,K,E,A,G,L
A-C-D-E-G-H-J-L,C,D,H,E,J,A,G,L
A-C-D-E-G-H-J-K,C,D,H,K,J,A,G,E
A-C-D-E-G-H-I-L,C,D,H,I,E,A,G,L
A-C-D-E-G-H-I-K,C,D,H,K,E,A,G,I
A-C-D-E-G-H-I-J,C,D,H,I,J,A,G,E
A-C-D-E-F-J-K-L,D,F,C,K,E,A,J,L
A-C-D-E-F-I-K-L,D,F,C,K,I,A,E,L
A-C-D-E-F-I-J-L,D,F,C,I,E,A,J,L
A-C-D-E-F-I-J-K,D,F,C,K,E,A,J,I
A-C-D-E-F-H-K-L,C,D,H,K,F,A,E,L
A-C-D-E-F-H-J-L,C,D,H,E,F,A,J,L
A-C-D-E-F-H-J-K,C,F,H,K,E,A,J,D
A-C-D-E-F-H-I-L,C,D,H,I,F,A,E,L
A-C-D-E-F-H-I-K,C,D,H,K,F,A,E,I
A-C-D-E-F-H-I-J,C,F,H,I,E,A,J,D
A-C-D-E-F-G-K-L,D,F,C,K,E,A,G,L
A-C-D-E-F-G-J-L,D,F,C,E,J,A,G,L
A-C-D-E-F-G-J-K,D,F,C,K,J,A,G,E
A-C-D-E-F-G-I-L,D,F,C,I,E,A,G,L
A-C-D-E-F-G-I-K,D,F,C,K,E,A,G,I
A-C-D-E-F-G-I-J,D,F,C,I,J,A,G,E
A-C-D-E-F-G-H-L,C,D,H,E,F,A,G,L
A-C-D-E-F-G-H-K,C,F,H,K,E,A,G,D
A-C-D-E-F-G-H-J,C,F,H,E,J,A,G,D
A-C-D-E-F-G-H-I,C,F,H,I,E,A,G,D
A-B-G-H-I-J-K-L,A,G,H,K,B,I,J,L
A-B-F-H-I-J-K-L,A,F,H,K,B,I,J,L
A-B-F-G-I-J-K-L,F,G,I,K,B,A,J,L
A-B-F-G-H-J-K-L,F,G,H,K,B,A,J,L
A-B-F-G-H-I-K-L,A,F,H,K,B,I,G,L
A-B-F-G-H-I-J-L,F,G,H,I,B,A,J,L
A-B-F-G-H-I-J-K,F,G,H,K,B,A,J,I
A-B-E-H-I-J-K-L,A,H,E,K,B,I,J,L
A-B-E-G-I-J-K-L,A,G,E,K,B,I,J,L
A-B-E-G-H-J-K-L,A,G,E,K,B,H,J,L
A-B-E-G-H-I-K-L,A,H,E,K,B,I,G,L
A-B-E-G-H-I-J-L,A,G,E,I,B,H,J,L
A-B-E-G-H-I-J-K,A,G,E,K,B,H,J,I
A-B-E-F-I-J-K-L,A,F,E,K,B,I,J,L
A-B-E-F-H-J-K-L,F,H,E,K,B,A,J,L
A-B-E-F-H-I-K-L,F,H,E,K,B,A,I,L
A-B-E-F-H-I-J-L,F,H,E,I,B,A,J,L
A-B-E-F-H-I-J-K,F,H,E,K,B,A,J,I
A-B-E-F-G-J-K-L,F,G,E,K,B,A,J,L
A-B-E-F-G-I-K-L,A,F,E,K,B,I,G,L
A-B-E-F-G-I-J-L,F,G,E,I,B,A,J,L
A-B-E-F-G-I-J-K,F,G,E,K,B,A,J,I
A-B-E-F-G-H-K-L,F,H,E,K,B,A,G,L
A-B-E-F-G-H-J-L,F,G,H,E,B,A,J,L
A-B-E-F-G-H-J-K,F,G,H,K,B,A,J,E
A-B-E-F-G-H-I-L,F,H,E,I,B,A,G,L
A-B-E-F-G-H-I-K,F,H,E,K,B,A,G,I
A-B-E-F-G-H-I-J,F,G,H,I,B,A,J,E
A-B-D-H-I-J-K-L,D,H,I,K,B,A,J,L
A-B-D-G-I-J-K-L,D,G,I,K,B,A,J,L
A-B-D-G-H-J-K-L,D,G,H,K,B,A,J,L
A-B-D-G-H-I-K-L,D,H,I,K,B,A,G,L
A-B-D-G-H-I-J-L,D,G,H,I,B,A,J,L
A-B-D-G-H-I-J-K,D,G,H,K,B,A,J,I
A-B-D-F-I-J-K-L,D,F,I,K,B,A,J,L
A-B-D-F-H-J-K-L,D,F,H,K,B,A,J,L
A-B-D-F-H-I-K-L,D,F,H,K,B,A,I,L
A-B-D-F-H-I-J-L,D,F,H,I,B,A,J,L
A-B-D-F-H-I-J-K,D,F,H,K,B,A,J,I
A-B-D-F-G-J-K-L,D,G,F,K,B,A,J,L
A-B-D-F-G-I-K-L,D,F,I,K,B,A,G,L
A-B-D-F-G-I-J-L,D,G,F,I,B,A,J,L
A-B-D-F-G-I-J-K,D,G,F,K,B,A,J,I
A-B-D-F-G-H-K-L,D,F,H,K,B,A,G,L
A-B-D-F-G-H-J-L,D,F,H,J,B,A,G,L
A-B-D-F-G-H-J-K,D,F,H,K,B,A,G,J
A-B-D-F-G-H-I-L,D,F,H,I,B,A,G,L
A-B-D-F-G-H-I-K,D,F,H,K,B,A,G,I
A-B-D-F-G-H-I-J,D,F,H,J,B,A,G,I
A-B-D-E-I-J-K-L,A,D,E,K,B,I,J,L
A-B-D-E-H-J-K-L,D,H,E,K,B,A,J,L
A-B-D-E-H-I-K-L,D,H,E,K,B,A,I,L
A-B-D-E-H-I-J-L,D,H,E,I,B,A,J,L
A-B-D-E-H-I-J-K,D,H,E,K,B,A,J,I
A-B-D-E-G-J-K-L,D,G,E,K,B,A,J,L
A-B-D-E-G-I-K-L,A,D,E,K,B,I,G,L
A-B-D-E-G-I-J-L,D,G,E,I,B,A,J,L
A-B-D-E-G-I-J-K,D,G,E,K,B,A,J,I
A-B-D-E-G-H-K-L,D,H,E,K,B,A,G,L
A-B-D-E-G-H-J-L,D,G,H,E,B,A,J,L
A-B-D-E-G-H-J-K,D,G,H,K,B,A,J,E
A-B-D-E-G-H-I-L,D,H,E,I,B,A,G,L
A-B-D-E-G-H-I-K,D,H,E,K,B,A,G,I
A-B-D-E-G-H-I-J,D,G,H,I,B,A,J,E
A-B-D-E-F-J-K-L,D,F,E,K,B,A,J,L
A-B-D-E-F-I-K-L,D,F,E,K,B,A,I,L
A-B-D-E-F-I-J-L,D,F,E,I,B,A,J,L
A-B-D-E-F-I-J-K,D,F,E,K,B,A,J,I
A-B-D-E-F-H-K-L,D,F,H,K,B,A,E,L
A-B-D-E-F-H-J-L,D,F,H,E,B,A,J,L
A-B-D-E-F-H-J-K,D,F,H,K,B,A,J,E
A-B-D-E-F-H-I-L,D,F,H,I,B,A,E,L
A-B-D-E-F-H-I-K,D,F,H,K,B,A,E,I
A-B-D-E-F-H-I-J,D,F,H,I,B,A,J,E
A-B-D-E-F-G-K-L,D,F,E,K,B,A,G,L
A-B-D-E-F-G-J-L,D,F,E,J,B,A,G,L
A-B-D-E-F-G-J-K,D,F,E,K,B,A,G,J
A-B-D-E-F-G-I-L,D,F,E,I,B,A,G,L
A-B-D-E-F-G-I-K,D,F,E,K,B,A,G,I
A-B-D-E-F-G-I-J,D,F,E,J,B,A,G,I
A-B-D-E-F-G-H-L,D,F,H,E,B,A,G,L
A-B-D-E-F-G-H-K,D,F,H,K,B,A,G,E
A-B-D-E-F-G-H-J,D,F,H,J,B,A,G,E
A-B-D-E-F-G-H-I,D,F,H,I,B,A,G,E
A-B-C-H-I-J-K-L,C,H,I,K,B,A,J,L
A-B-C-G-I-J-K-L,C,G,I,K,B,A,J,L
A-B-C-G-H-J-K-L,C,G,H,K,B,A,J,L
A-B-C-G-H-I-K-L,C,H,I,K,B,A,G,L
A-B-C-G-H-I-J-L,C,G,H,I,B,A,J,L
A-B-C-G-H-I-J-K,C,G,H,K,B,A,J,I
A-B-C-F-I-J-K-L,C,F,I,K,B,A,J,L
A-B-C-F-H-J-K-L,C,F,H,K,B,A,J,L
A-B-C-F-H-I-K-L,C,F,H,K,B,A,I,L
A-B-C-F-H-I-J-L,C,F,H,I,B,A,J,L
A-B-C-F-H-I-J-K,C,F,H,K,B,A,J,I
A-B-C-F-G-J-K-L,F,G,C,K,B,A,J,L
A-B-C-F-G-I-K-L,C,F,I,K,B,A,G,L
A-B-C-F-G-I-J-L,F,G,C,I,B,A,J,L
A-B-C-F-G-I-J-K,F,G,C,K,B,A,J,I
A-B-C-F-G-H-K-L,C,F,H,K,B,A,G,L
A-B-C-F-G-H-J-L,C,F,H,J,B,A,G,L
A-B-C-F-G-H-J-K,C,F,H,K,B,A,G,J
A-B-C-F-G-H-I-L,C,F,H,I,B,A,G,L
A-B-C-F-G-H-I-K,C,F,H,K,B,A,G,I
A-B-C-F-G-H-I-J,C,F,H,J,B,A,G,I
A-B-C-E-I-J-K-L,A,C,E,K,B,I,J,L
A-B-C-E-H-J-K-L,C,H,E,K,B,A,J,L
A-B-C-E-H-I-K-L,C,H,E,K,B,A,I,L
A-B-C-E-H-I-J-L,C,H,E,I,B,A,J,L
A-B-C-E-H-I-J-K,C,H,E,K,B,A,J,I
A-B-C-E-G-J-K-L,C,G,E,K,B,A,J,L
A-B-C-E-G-I-K-L,A,C,E,K,B,I,G,L
A-B-C-E-G-I-J-L,C,G,E,I,B,A,J,L
A-B-C-E-G-I-J-K,C,G,E,K,B,A,J,I
A-B-C-E-G-H-K-L,C,H,E,K,B,A,G,L
A-B-C-E-G-H-J-L,C,G,H,E,B,A,J,L
A-B-C-E-G-H-J-K,C,G,H,K,B,A,J,E
A-B-C-E-G-H-I-L,C,H,E,I,B,A,G,L
A-B-C-E-G-H-I-K,C,H,E,K,B,A,G,I
A-B-C-E-G-H-I-J,C,G,H,I,B,A,J,E
A-B-C-E-F-J-K-L,C,F,E,K,B,A,J,L
A-B-C-E-F-I-K-L,C,F,E,K,B,A,I,L
A-B-C-E-F-I-J-L,C,F,E,I,B,A,J,L
A-B-C-E-F-I-J-K,C,F,E,K,B,A,J,I
A-B-C-E-F-H-K-L,C,F,H,K,B,A,E,L
A-B-C-E-F-H-J-L,C,F,H,E,B,A,J,L
A-B-C-E-F-H-J-K,C,F,H,K,B,A,J,E
A-B-C-E-F-H-I-L,C,F,H,I,B,A,E,L
A-B-C-E-F-H-I-K,C,F,H,K,B,A,E,I
A-B-C-E-F-H-I-J,C,F,H,I,B,A,J,E
A-B-C-E-F-G-K-L,C,F,E,K,B,A,G,L
A-B-C-E-F-G-J-L,C,F,E,J,B,A,G,L
A-B-C-E-F-G-J-K,C,F,E,K,B,A,G,J
A-B-C-E-F-G-I-L,C,F,E,I,B,A,G,L
A-B-C-E-F-G-I-K,C,F,E,K,B,A,G,I
A-B-C-E-F-G-I-J,C,F,E,J,B,A,G,I
A-B-C-E-F-G-H-L,C,F,H,E,B,A,G,L
A-B-C-E-F-G-H-K,C,F,H,K,B,A,G,E
A-B-C-E-F-G-H-J,C,F,H,J,B,A,G,E
A-B-C-E-F-G-H-I,C,F,H,I,B,A,G,E
A-B-C-D-I-J-K-L,C,D,I,K,B,A,J,L
